2025-11-14T12:23:33.3330387+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T12:23:33.3523188+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T14:23:24.2423024+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T14:23:24.2850998+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T14:24:49.0817501+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T14:24:49.1119754+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T14:53:17.9655198+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T14:53:17.9829271+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T15:16:14.9438588+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T15:16:14.9688048+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
